id,name,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,date_observed,est_diameter_min_km,est_diameter_max_km,relative_velocity_kmph,miss_distance_km,orbiting_body
2415949,415949 (2001 XY10),19.37,False,False,2024-01-02,0.3552670883,0.7944013596,57205.8951204341,50452409.349026635,Earth
3160747,(2003 SR84),26.0,False,False,2024-01-02,0.0167708462,0.0375007522,38589.054833182,19798169.933318187,Earth
3309828,(2005 YQ96),20.62,True,False,2024-01-02,0.1997813652,0.4467247133,56413.0143519451,24984732.5591945,Earth
3457842,(2009 HC21),22.1,False,False,2024-01-02,0.1010543415,0.2259643771,21891.1182185894,73609796.92499082,Earth
3553062,(2010 XA11),26.1,False,False,2024-01-02,0.0160160338,0.0358129403,31468.9783588978,35275514.131770484,Earth
3591616,(2011 YP10),23.94,False,False,2024-01-02,0.0433066885,0.0968366995,20905.2083584121,10545147.184234997,Earth
3608936,(2012 SD22),20.05,True,False,2024-01-02,0.2597496533,0.580817882,39682.059481597,24597313.4350941,Earth
3795154,(2017 YD8),21.87,False,False,2024-01-02,0.1123453177,0.2512117673,68377.1134793652,30107678.45149672,Earth
3842680,(2019 KK5),22.79,False,False,2024-01-02,0.0735453089,0.1644523102,74999.2690004519,3904096.678005315,Earth
2613286,613286 (2005 YQ96),20.63,True,False,2024-01-02,0.1988634532,0.4446721997,56413.0425616862,24984795.0462248,Earth
54338714,(2023 AW),25.68,False,False,2024-01-02,0.0194336768,0.0434550225,19080.1143374717,16252312.970794676,Earth
54415081,(2023 XZ4),24.05,False,False,2024-01-02,0.0411675457,0.0920534307,40773.2703521008,21691678.389301687,Earth
54417653,(2023 YR),24.9,False,False,2024-01-02,0.0278326768,0.0622357573,43990.4575325894,1729961.781388961,Earth
54419485,(2024 AQ1),23.72,False,False,2024-01-02,0.0479242116,0.1071617948,55690.3625074711,6556678.638970726,Earth
54419601,(2024 AA2),20.54,False,False,2024-01-02,0.2072788434,0.4634895841,57600.8836810697,28794164.5278521,Earth
54418497,(2024 AA),27.41,False,False,2024-01-02,0.0087610261,0.01959025,77155.5933716609,610571.843293909,Earth
54418796,(2022 OY78),26.38,False,False,2024-01-02,0.0140784543,0.0314803809,31793.2989592959,17553928.179055236,Earth
54420153,(2024 AR3),23.6,False,False,2024-01-02,0.0506471459,0.1132504611,46955.9053910434,7878470.456033288,Earth
54421393,(2024 BK1),24.49,False,False,2024-01-02,0.0336166921,0.0751692087,21065.9333422733,36368802.56262325,Earth
2669051,669051 (2012 SD22),20.08,True,False,2024-01-02,0.2561857545,0.5728487619,39682.0580935237,24597309.695147347,Earth
54445206,(2024 KJ1),26.21,False,False,2024-01-02,0.0152249185,0.0340439527,17946.3945602822,16030952.32936526,Earth
54444997,(2024 KY),26.5,False,False,2024-01-02,0.0133215567,0.0297879063,22611.5370594138,35127451.53983093,Earth
3724393,(2015 OD22),21.21,False,False,2024-01-01,0.152249185,0.3404395273,91415.3925356518,65417380.10969937,Earth
3797695,(2018 BA),25.0,False,False,2024-01-01,0.02658,0.0594346868,60138.6729062958,59256680.30071449,Earth
3986699,(2020 BC),26.2,False,False,2024-01-01,0.0152951935,0.0342010925,29931.0378379052,25070662.218993343,Earth
54200446,(2021 SG2),25.54,False,False,2024-01-01,0.0207278843,0.0463489584,69336.4423409755,71794479.50579,Earth
54235663,(2022 AO2),24.19,False,False,2024-01-01,0.0385971268,0.0863057993,70248.9352052905,55049570.13010699,Earth
54419698,(2024 AV2),26.64,False,False,2024-01-01,0.0124897854,0.0279280092,29028.3645991597,1452207.844256913,Earth
54418438,(2023 YR1),25.68,False,False,2024-01-01,0.0194336768,0.0434550225,47882.5821984107,2485481.24489392,Earth
54418650,(2023 YY1),25.77,False,False,2024-01-01,0.0186446818,0.041690776,23313.886006764,4058906.896831003,Earth
54421384,(2024 AA6),25.12,False,False,2024-01-01,0.0251509837,0.0562393094,25647.6217998182,7351471.447855092,Earth
54513047,(2025 AB),27.13,False,True,2024-01-01,0.0099667824,0.022286403,27925.9738377584,23693200.7560047,Earth
2450293,450293 (2004 LV3),18.83,True,False,2024-01-04,0.4555698523,1.0186851583,85384.3979548105,37629939.10050602,Earth
3541505,(2010 PJ),22.14,False,False,2024-01-04,0.0992098919,0.2218400624,66284.046805343,48751391.89816336,Earth
3759758,(2016 SU2),27.6,False,True,2024-01-04,0.0080270317,0.0179489885,61645.9178601515,24656351.157384936,Earth
54244177,(2022 BR6),26.66,False,False,2024-01-04,0.0123752784,0.0276719637,73098.6130534572,67952893.52446672,Earth
54377575,(2023 QC2),26.1,False,False,2024-01-04,0.0160160338,0.0358129403,19363.5674240887,66150221.23922232,Earth
54416724,(2023 XX12),24.76,False,False,2024-01-04,0.0296862251,0.0663804174,24905.7058657695,8499675.985202963,Earth
54416853,(2023 XS13),24.27,False,False,2024-01-04,0.037201031,0.0831840342,24856.6146233309,23231366.08632553,Earth
54418649,(2024 AD),28.76,False,True,2024-01-04,0.0047049496,0.0105205872,35641.5158026425,242675.944338495,Earth
54419602,(2024 AB2),26.83,False,False,2024-01-04,0.0114433973,0.0255882143,25213.574669802,744109.783557929,Earth
54467128,(2024 QT),27.93,False,False,2024-01-04,0.0068953287,0.0154184238,21162.834162253,41810393.36912481,Earth
3154493,(2003 JV14),21.39,False,False,2024-01-03,0.1401376972,0.3133574171,49177.1673871585,39218727.406507015,Earth
3591759,(2011 YE40),25.2,False,False,2024-01-03,0.0242412481,0.0542050786,47099.8219113461,17737010.465498403,Earth
3595775,(2012 AB11),22.32,False,False,2024-01-03,0.0913177026,0.2041925905,66101.0085197716,42945020.55338935,Earth
3605578,(2012 LJ2),21.7,False,False,2024-01-03,0.1214940408,0.2716689341,62605.7918647103,72656389.98248155,Earth
3645001,(2013 NT11),19.49,False,False,2024-01-03,0.3361669212,0.7516920875,136267.5931308216,58024777.65499457,Earth
3751529,(2016 GZ215),21.08,False,False,2024-01-03,0.1616422833,0.3614431336,13412.6297084999,47416427.49497433,Earth
3787600,(2017 UJ2),30.9,False,True,2024-01-03,0.0017561232,0.0039268108,20392.71468415,41723362.16037001,Earth
3789479,(2017 WQ1),24.98,False,False,2024-01-03,0.0268259417,0.0599846292,77947.7941353121,58770868.08443172,Earth
3837605,(2019 AE3),27.4,False,False,2024-01-03,0.0088014652,0.0196806745,30643.8908800298,32886309.79750948,Earth
3986746,(2020 BG1),22.08,False,False,2024-01-03,0.1019893859,0.2280551997,30660.8552813021,65717561.10127119,Earth
54048870,(2020 OU),22.23,False,False,2024-01-03,0.095182033,0.212833496,35815.2965269734,53503979.18145465,Earth
54278142,(2022 JM),28.8,False,True,2024-01-03,0.0046190746,0.0103285648,15135.7875736874,24915574.929952625,Earth
54339170,(2023 AE2),25.09,False,False,2024-01-03,0.0255008688,0.0570216761,40627.9359558418,62234185.289850384,Earth
54382904,(2023 RM9),22.63,False,False,2024-01-03,0.0791689667,0.1770271912,46687.637003535,63970228.434091866,Earth
54407115,(2023 WQ1),21.7,False,False,2024-01-03,0.1214940408,0.2716689341,21316.3863185218,33143995.883491017,Earth
54415862,(2023 XN7),21.91,False,False,2024-01-03,0.1102947845,0.2466266358,50245.145075255,36285724.08862874,Earth
54419016,(2024 AS),25.21,False,False,2024-01-03,0.0241298697,0.0539560289,26620.9107473446,9293487.461979702,Earth
54419812,(2024 AH3),25.67,False,True,2024-01-03,0.0195233786,0.0436556017,35581.2855133506,2692217.677265319,Earth
54419705,(2024 AA3),25.76,False,False,2024-01-03,0.0187307418,0.0418832119,38651.4528346904,5207160.128285559,Earth
54419817,(2024 AM3),26.6,False,False,2024-01-03,0.0127219879,0.0284472297,34700.8767701078,2680032.137885108,Earth
54425076,(2024 BB8),21.37,False,False,2024-01-03,0.1414343753,0.3162568776,43666.3832834038,69506951.39840552,Earth
2668499,668499 (2012 AB11),22.32,False,False,2024-01-03,0.0913177026,0.2041925905,66101.008470871,42945020.56834914,Earth
2304640,304640 (2006 WW1),19.17,False,False,2024-01-06,0.3895426161,0.8710437698,82917.386474944,45511421.604933254,Earth
3102756,(2002 AO11),23.05,False,False,2024-01-06,0.065246163,0.1458948557,66352.9893943133,60009526.330604255,Earth
3623521,(2013 AK20),23.19,False,False,2024-01-06,0.0611723235,0.1367854737,33449.0167383958,39773989.22219454,Earth
3630638,(2013 EU9),21.66,False,False,2024-01-06,0.1237527837,0.2767196367,23244.7020210603,68747709.96981454,Earth
3752775,(2016 JX5),26.9,False,False,2024-01-06,0.0110803882,0.0247765013,47409.8201474422,32857831.15019332,Earth
3780672,(2017 PM26),21.28,False,False,2024-01-06,0.1474195145,0.3296400556,67006.5424308666,32274818.88474144,Earth
3794988,(2017 YZ1),20.43,True,False,2024-01-06,0.2180494405,0.4875733714,44018.2595059564,72151871.79421762,Earth
54131589,(2021 EU4),24.66,False,False,2024-01-06,0.0310852938,0.0695088301,48806.5481244749,43483069.129521914,Earth
54162245,(2021 MQ1),23.05,False,False,2024-01-06,0.065246163,0.1458948557,77270.3508057131,20330046.370610718,Earth
2591179,591179 (2013 EU9),21.66,False,False,2024-01-06,0.1237527837,0.2767196367,23244.7048088382,68747717.67410485,Earth
54212682,(2021 UO1),28.03,False,True,2024-01-06,0.0065849878,0.0147244804,48600.390963496,62463681.30280699,Earth
54373932,(2023 MB3),30.0,False,True,2024-01-06,0.002658,0.0059434687,46861.3592628214,54712164.16199074,Earth
54419186,(2024 AH1),25.84,False,False,2024-01-06,0.0180532326,0.0403682552,34732.8834290542,3441304.746515805,Earth
54418498,(2024 AC),25.5,False,False,2024-01-06,0.0211132445,0.0472106499,24436.4638807862,2314264.029273852,Earth
54418648,(2023 YX1),24.86,False,False,2024-01-06,0.0283501249,0.0633928065,51523.5339034366,3877187.626500982,Earth
54420155,(2024 AV3),25.78,False,False,2024-01-06,0.0185590173,0.0414992243,49762.1209539445,4674438.11895243,Earth
